day,views,estimatedMinutesWatched,subscribersGained
2021-11,1026,3310,84
2021-12,729,3319,25
2022-01,314,1688,18
2022-02,302,1262,12
2022-03,280,1059,4
2022-04,312,1243,20
2022-05,255,1134,5
2022-06,378,1876,18
2022-07,345,1845,14
2022-08,290,1210,11
2022-09,207,1190,4
2022-10,345,1515,18
2022-11,309,1363,11
2022-12,610,2163,32
2023-01,212,850,7
2023-02,291,1198,11
2023-03,249,1136,12
2023-04,259,1077,12
2023-05,395,1523,11
2023-06,179,552,6
2023-07,289,1118,13
2023-08,436,1277,13
2023-09,272,815,9
2023-10,201,961,13
2023-11,187,834,9
2023-12,193,1298,14
2024-01,143,845,7
2024-02,156,613,4
2024-03,153,985,7
2024-04,183,847,6
2024-05,172,850,6
2024-06,3,15,0
